rowid;latitude;longitude;target;dbuiltup;dforest;drecreation;dbrr;dwrl;dwrn;dwrr;dcamping;dcaravan;dcross;dgolf;dheem;dhaven;dsafari;dwater;attr;dbath;lu;lc;maxmeanhaz;maxstdhaz;exp
5681.0;95500.0;393500.0;1;0.0;539.0;0.0;753.0;715.0;1948.0;1735.0;38.0;477.0;1343.0;7677.0;3479.0;5503.0;1771.0;31211.0;123.0;5.0;4100.0;60.0;1.0;0.0;6.0
5682.0;96500.0;393500.0;2;0.0;42.0;563.0;620.0;649.0;2004.0;1441.0;288.0;573.0;1115.0;6865.0;4409.0;4715.0;909.0;31485.0;344.0;5.0;3823.0;51.0;4.0;0.0;6.0
5684.0;98500.0;393500.0;1;1.0;99.0;144.0;731.0;360.0;2937.0;394.0;292.0;1635.0;2360.0;5431.0;5937.0;3479.0;1214.0;32117.0;137.0;5.0;3440.0;51.0;1.0;0.0;6.0
5690.0;104500.0;393500.0;1;0.0;768.0;98.0;380.0;89.0;372.0;611.0;89.0;393.0;5183.0;4229.0;7666.0;3435.0;4060.0;33261.0;77.0;5.0;656.0;51.0;1.0;0.0;6.0
5697.0;111500.0;393500.0;2;0.0;659.0;1754.0;525.0;19.0;4824.0;736.0;19.0;1645.0;9717.0;27560.0;5467.0;21276.0;16660.0;20606.0;273.0;4.0;8250.0;51.0;4.0;0.0;1.0
5698.0;112500.0;393500.0;1;0.0;562.0;1702.0;458.0;542.0;4908.0;1036.0;542.0;1752.0;9342.0;26832.0;4649.0;20671.0;15897.0;19974.0;322.0;5.0;8433.0;51.0;5.0;0.0;6.0
5699.0;113500.0;393500.0;1;0.0;826.0;2162.0;1395.0;1529.0;5184.0;1615.0;347.0;1953.0;9062.0;26123.0;3917.0;20096.0;15162.0;19372.0;365.0;5.0;8728.0;51.0;5.0;0.0;6.0
5700.0;114500.0;393500.0;2;0.0;0.0;1982.0;2383.0;1714.0;5610.0;1899.0;232.0;1335.0;8887.0;25433.0;3325.0;19556.0;14458.0;18805.0;322.0;3.0;9124.0;20.0;5.0;0.0;6.0
5701.0;115500.0;393500.0;4;0.0;855.0;1318.0;2712.0;760.0;6171.0;2352.0;1200.0;1306.0;8822.0;24764.0;2919.0;19053.0;13791.0;18274.0;488.0;3.0;9607.0;51.0;5.0;0.0;6.0
5702.0;116500.0;393500.0;1;0.0;1851.0;1172.0;2695.0;223.0;6832.0;1615.0;858.0;1866.0;8860.0;24118.0;2695.0;18591.0;13166.0;17784.0;144.0;5.0;10118.0;51.0;6.0;0.0;1.0
5706.0;120500.0;393500.0;2;0.0;2175.0;284.0;1430.0;194.0;8359.0;359.0;194.0;1409.0;9086.0;22902.0;2620.0;17799.0;12068.0;16918.0;201.0;5.0;10548.0;51.0;5.0;0.0;1.0
5708.0;122500.0;393500.0;1;0.0;2183.0;249.0;444.0;168.0;9191.0;690.0;168.0;424.0;9335.0;22337.0;3072.0;17475.0;11609.0;16551.0;74.0;5.0;10771.0;62.0;45.0;0.0;6.0
5710.0;124500.0;393500.0;1;0.0;2529.0;896.0;116.0;629.0;10053.0;248.0;248.0;112.0;9669.0;21803.0;3742.0;17202.0;11220.0;16238.0;514.0;3.0;11013.0;51.0;5.0;0.0;6.0
5722.0;136500.0;393500.0;2;0.0;1712.0;1138.0;1627.0;367.0;9798.0;367.0;367.0;3911.0;11737.0;16783.0;10110.0;16884.0;8314.0;15718.0;868.0;2.0;7535.0;51.0;5.0;0.0;2.0
5723.0;137500.0;393500.0;1;0.0;1842.0;1898.0;1842.0;97.0;8932.0;975.0;625.0;3387.0;12194.0;15826.0;11068.0;17096.0;7363.0;15919.0;156.0;4.0;6586.0;51.0;5.0;0.0;1.0
5735.0;149500.0;393500.0;1;0.0;2430.0;167.0;2564.0;319.0;5755.0;495.0;319.0;1226.0;14533.0;11987.0;14521.0;14853.0;3599.0;17206.0;511.0;4.0;2875.0;51.0;5.0;0.0;6.0
5763.0;177500.0;393500.0;2;0.0;491.0;719.0;985.0;94.0;4463.0;2799.0;94.0;2777.0;11321.0;5816.0;8426.0;8527.0;3908.0;16583.0;192.0;5.0;4024.0;51.0;5.0;0.0;2.0
